texto_original;texto_limpio
La calle está llena de hoyos.;la calle está llena de hoyos
¿Quiere que le proporcione la dirección electronica?;quiere que le proporcione la dirección electronica
El viaje en avión es más rápido que en barco.;el viaje en avión es más rápido que en barco
El tiempo total de viaje es de diez horas treinta y cinco minutos.;el tiempo total de viaje es de diez horas treinta y cinco minutos
Los libros electrónicos tienen un mercado y los libros en papel otro.;los libros electrónicos tienen un mercado y los libros en papel otro
Tocar el xilófono es mi hobby favorito.;tocar el xilófono es mi hobby favorito
Estoy muy emocionada porque me voy a Italia.;estoy muy emocionada porque me voy a italia
Ya están todas las películas en tu mail.;ya están todas las películas en tu mail
¿Has visto alguna vez una pantalla transparente?;has visto alguna vez una pantalla transparente
Pulpo a la plancha, comida de mar.;pulpo a la plancha comida de mar
¿Me podés ayudar a buscar un auto nuevo?;me podés ayudar a buscar un auto nuevo
Necesito un martillo y varios clavos para colgar bien el cuadro.;necesito un martillo y varios clavos para colgar bien el cuadro
Si te mareas fácil en un barco, podés llegar por tierra porque no es una isla, es una península.;si te mareas fácil en un barco podés llegar por tierra porque no es una isla es una península
Los cabecillas de la banda huyeron a caballo.;los cabecillas de la banda huyeron a caballo
En el centro hay unos muy buenos bares con pantallas de plasma de sesenta pulgadas para disfrutar bien el partido.;en el centro hay unos muy buenos bares con pantallas de plasma de sesenta pulgadas para disfrutar bien el partido
Quizás tu hijo necesita otro método de enseñanza.;quizás tu hijo necesita otro método de enseñanza
Esa palabra viene del griego clásico.;esa palabra viene del griego clásico
La pelea entre Juan y Pedro estaba arreglada.;la pelea entre juan y pedro estaba arreglada
Lola qué triste lo que les paso a los Japoneses con el tsunami.;lola qué triste lo que les paso a los japoneses con el tsunami
Estoy muy emocionada porque me voy a Tierra del Fuego.;estoy muy emocionada porque me voy a tierra del fuego
¿Cuáles son las principales diferencias?;cuáles son las principales diferencias
¿Cuánto cuesta esa cartera italiana?;cuánto cuesta esa cartera italiana
El tercer paso para eliminar el calor es ponerte ropa más suelta.;el tercer paso para eliminar el calor es ponerte ropa más suelta
En tu zona hay tres paradas de bicicleta urbana.;en tu zona hay tres paradas de bicicleta urbana
Esta computadora es ideal para tus necesidades personales y laborales.;esta computadora es ideal para tus necesidades personales y laborales
No te entiendo nada.;no te entiendo nada
¿Cuál es el libro electrónico más vendido en la temporada navideña pasada?;cuál es el libro electrónico más vendido en la temporada navideña pasada
No hay mejor regalo que un buen libro.;no hay mejor regalo que un buen libro
¿Qué edad tienen tus hijos Alex?;qué edad tienen tus hijos alex
¿Te gustan los chocolates?;te gustan los chocolates
Necesito un smart-phone.;necesito un smartphone
La pronunciación del francés es difícil.;la pronunciación del francés es difícil
Quiero que por favor averigües qué películas tienen para hoy, a qué hora y cuál es la que más recomiendan.;quiero que por favor averiges qué películas tienen para hoy a qué hora y cuál es la que más recomiendan
Tengo que viajar a España a un concierto y no sé como reservar los boletos del teatro.;tengo que viajar a españa a un concierto y no sé como reservar los boletos del teatro
El tour solamente incluye transporte, no carga ni alimentos ni hotel.;el tour solamente incluye transporte no carga ni alimentos ni hotel
Quiero ir de viaje con mis padres pero no sé a donde.;quiero ir de viaje con mis padres pero no sé a donde
Comprar marfil está prohibido, porque el elefante está en peligro de extinción.;comprar marfil está prohibido porque el elefante está en peligro de extinción
Quiero ver una película de comedia.;quiero ver una película de comedia
Se me fue internet.;se me fue internet
Los chicos quieren ver la tele pero no se que puedan ver a su edad.;los chicos quieren ver la tele pero no se que puedan ver a su edad
¿Cuándo es la próxima convención de articulos de peluqueria?;cuándo es la próxima convención de articulos de peluqueria
Mandame una lista de los canales que recomendás.;mandame una lista de los canales que recomendás
Aprendí a cambiar el aceite del auto.;aprendí a cambiar el aceite del auto
Estoy muy emocionada porque me voy a Holanda.;estoy muy emocionada porque me voy a holanda
Te puedo compartir estas fotos, ¿las ves?;te puedo compartir estas fotos las ves
Las bisagras son azules.;las bisagras son azules
¿Quién subió el mejor video?;quién subió el mejor video
Quiero transferir dinero vía Paypal.;quiero transferir dinero vía paypal
A la hora de la comida solo coma pollo y verduras hervidas.;a la hora de la comida solo coma pollo y verduras hervidas
¿Y a qué hora es ese programa de radio?;y a qué hora es ese programa de radio
La Inteligencia Artificial está con nosotros desde mediados de los años cincuenta del siglo pasado.;la inteligencia artificial está con nosotros desde mediados de los años cincuenta del siglo pasado
Quizás es una buena idea que lleves a tu hijo a una maestra particular después de clases.;quizás es una buena idea que lleves a tu hijo a una maestra particular después de clases
¿Hay algún árbol que mida menos de dos metros en su etapa adulta?;hay algún árbol que mida menos de dos metros en su etapa adulta
¿Qué te parece los mas grandes exitos en español?;qué te parece los mas grandes exitos en español
Científicos de la universidad encontraron que esta sustancia se encuentra en unas piedras.;científicos de la universidad encontraron que esta sustancia se encuentra en unas piedras
Las tejas rojas del tejado no son de México, son de Texas.;las tejas rojas del tejado no son de méxico son de texas
¿Conocés la información nutricional de la pizza vegetariana?;conocés la información nutricional de la pizza vegetariana
En la cultura Egipcia, el alacrán simboliza la fuerza del faraón.;en la cultura egipcia el alacrán simboliza la fuerza del faraón
Mañana va a llover todo el día, no olvide su impermeable.;mañana va a llover todo el día no olvide su impermeable
¿Es un vuelo directo o hace escalas?;es un vuelo directo o hace escalas
Últimamente estuve muy estresado, quiero ir de vacaciones a un lugar donde me pueda relajar.;últimamente estuve muy estresado quiero ir de vacaciones a un lugar donde me pueda relajar
El granizo destruyó toda la plantación de lechuga.;el granizo destruyó toda la plantación de lechuga
La mermelada de zarzamora es muy fácil de hacer.;la mermelada de zarzamora es muy fácil de hacer
¿Sabés escribir código?, necesito hacer una página web y no se cómo.;sabés escribir código necesito hacer una página web y no se cómo
¿Has surfeado alguna vez?;has surfeado alguna vez
¿No hay algún horario saliendo al mediodía?;no hay algún horario saliendo al mediodía
El Llano en Llamas es un clásico de Juan Rulfo.;el llano en llamas es un clásico de juan rulfo
Caracas tiene muchísimos parques donde hay conciertos gratuitos.;caracas tiene muchísimos parques donde hay conciertos gratuitos
Te recomiendo que veas las películas de Fellini.;te recomiendo que veas las películas de fellini
Según mis datos este lunes quince de Abril no hay partidos de bádminton.;según mis datos este lunes quince de abril no hay partidos de bádminton
Los hamsters comen zanahorias.;los hamsters comen zanahorias
Te quiero pedir seis cajas de atún y treinta paquetes con botellas de agua.;te quiero pedir seis cajas de atún y treinta paquetes con botellas de agua
Tengo muchos negativos de treinta y cinco milímetros.;tengo muchos negativos de treinta y cinco milímetros
Por las tardes se escucha música en la Plaza.;por las tardes se escucha música en la plaza
Ya no quiero usar tanto el auto, quiero usar más la bici.;ya no quiero usar tanto el auto quiero usar más la bici
Siempre soñé con viajar al espacio.;siempre soñé con viajar al espacio
Para que el sabor de la comida inglesa realmente resalte se recomienda un vino más dulzón.;para que el sabor de la comida inglesa realmente resalte se recomienda un vino más dulzón
El ajo no me gusta.;el ajo no me gusta
¿Cuáles son las zonas más seguras de la ciudad?;cuáles son las zonas más seguras de la ciudad
Mañana a la noche va a nevar.;mañana a la noche va a nevar
Siempre fui fanático del color gris claro.;siempre fui fanático del color gris claro
¿Querés comprarla por internet o en persona?;querés comprarla por internet o en persona
Ojalá pudiéramos invitar a esta reunión con el señor González a varios científicos.;ojalá pudiéramos invitar a esta reunión con el señor gonzález a varios científicos
Según mis datos este jueves veinticuatro de Agosto hay un eclipse de sol.;según mis datos este jueves veinticuatro de agosto hay un eclipse de sol
Me gustaría ir a un lugar con opciones muy variadas de comida.;me gustaría ir a un lugar con opciones muy variadas de comida
¿Cuántas medallas ha ganado?;cuántas medallas ha ganado
La calle está llena de hoyos.;la calle está llena de hoyos
Quiero comprar un televisor nuevo.;quiero comprar un televisor nuevo
Los zapatos se estropearon con la lluvia torrencial de ayer.;los zapatos se estropearon con la lluvia torrencial de ayer
Siempre fui fanático del color amarillo.;siempre fui fanático del color amarillo
La oscuridad del pozo era obscena por naturaleza.;la oscuridad del pozo era obscena por naturaleza
Quiero un lugar en donde la música no este tan fuerte.;quiero un lugar en donde la música no este tan fuerte
En el salón de fiestas entran alrededor de mil quinientas personas.;en el salón de fiestas entran alrededor de mil quinientas personas
Los chicos quieren ver la tele pero no sé que pueden ver a su edad.;los chicos quieren ver la tele pero no sé que pueden ver a su edad
En su teléfono hay una pestaña que dice aplicaciones, apriete el icono de color azul.;en su teléfono hay una pestaña que dice aplicaciones apriete el icono de color azul
